observation_date,WPU057
1947-01-01,8.300
1947-02-01,8.400
1947-03-01,9.000
1947-04-01,9.600
1947-05-01,9.600
1947-06-01,9.700
1947-07-01,9.900
1947-08-01,10.100
1947-09-01,10.100
1947-10-01,10.200
1947-11-01,10.700
1947-12-01,11.300
1948-01-01,12.100
1948-02-01,12.300
1948-03-01,12.300
1948-04-01,12.300
1948-05-01,12.300
1948-06-01,12.300
1948-07-01,12.300
1948-08-01,12.200
1948-09-01,12.100
1948-10-01,12.200
1948-11-01,12.100
1948-12-01,11.900
1949-01-01,11.700
1949-02-01,11.200
1949-03-01,11.000
1949-04-01,10.700
1949-05-01,10.500
1949-06-01,10.400
1949-07-01,10.300
1949-08-01,10.400
1949-09-01,10.500
1949-10-01,10.600
1949-11-01,10.400
1949-12-01,10.400
1950-01-01,10.500
1950-02-01,10.500
1950-03-01,10.500
1950-04-01,10.600
1950-05-01,10.900
1950-06-01,11.100
1950-07-01,11.300
1950-08-01,11.600
1950-09-01,11.700
1950-10-01,11.800
1950-11-01,11.800
1950-12-01,11.800
1951-01-01,12.000
1951-02-01,12.000
1951-03-01,12.100
1951-04-01,12.100
1951-05-01,12.000
1951-06-01,12.100
1951-07-01,12.100
1951-08-01,12.100
1951-09-01,12.100
1951-10-01,12.100
1951-11-01,12.100
1951-12-01,12.100
1952-01-01,12.100
1952-02-01,12.000
1952-03-01,12.100
1952-04-01,11.900
1952-05-01,12.000
1952-06-01,11.900
1952-07-01,11.900
1952-08-01,11.800
1952-09-01,11.800
1952-10-01,11.800
1952-11-01,11.700
1952-12-01,11.700
1953-01-01,11.700
1953-02-01,11.600
1953-03-01,11.800
1953-04-01,11.800
1953-05-01,11.900
1953-06-01,11.900
1953-07-01,12.600
1953-08-01,12.600
1953-09-01,12.600
1953-10-01,12.600
1953-11-01,12.600
1953-12-01,12.400
1954-01-01,12.300
1954-02-01,12.200
1954-03-01,11.900
1954-04-01,12.000
1954-05-01,12.000
1954-06-01,11.900
1954-07-01,11.500
1954-08-01,11.600
1954-09-01,11.700
1954-10-01,11.600
1954-11-01,11.700
1954-12-01,11.800
1955-01-01,11.900
1955-02-01,11.900
1955-03-01,12.000
1955-04-01,11.900
1955-05-01,11.900
1955-06-01,11.900
1955-07-01,11.900
1955-08-01,12.100
1955-09-01,12.200
1955-10-01,12.300
1955-11-01,12.300
1955-12-01,12.400
1956-01-01,12.600
1956-02-01,12.700
1956-03-01,12.600
1956-04-01,12.700
1956-05-01,12.800
1956-06-01,12.800
1956-07-01,12.800
1956-08-01,12.800
1956-09-01,12.800
1956-10-01,12.800
1956-11-01,12.700
1956-12-01,13.100
1957-01-01,13.500
1957-02-01,14.200
1957-03-01,14.100
1957-04-01,14.100
1957-05-01,14.000
1957-06-01,13.800
1957-07-01,13.600
1957-08-01,13.500
1957-09-01,13.500
1957-10-01,13.400
1957-11-01,13.200
1957-12-01,13.200
1958-01-01,13.100
1958-02-01,12.600
1958-03-01,12.400
1958-04-01,12.200
1958-05-01,12.100
1958-06-01,12.200
1958-07-01,12.400
1958-08-01,12.700
1958-09-01,12.700
1958-10-01,12.500
1958-11-01,12.400
1958-12-01,12.400
1959-01-01,12.600
1959-02-01,12.800
1959-03-01,12.800
1959-04-01,12.800
1959-05-01,12.600
1959-06-01,12.200
1959-07-01,12.200
1959-08-01,12.300
1959-09-01,12.200
1959-10-01,12.200
1959-11-01,12.100
1959-12-01,12.100
1960-01-01,12.200
1960-02-01,12.200
1960-03-01,12.200
1960-04-01,12.300
1960-05-01,12.000
1960-06-01,12.300
1960-07-01,12.600
1960-08-01,12.800
1960-09-01,13.000
1960-10-01,13.000
1960-11-01,12.900
1960-12-01,13.000
1961-01-01,13.200
1961-02-01,13.300
1961-03-01,13.200
1961-04-01,12.800
1961-05-01,12.500
1961-06-01,12.700
1961-07-01,12.800
1961-08-01,12.700
1961-09-01,12.500
1961-10-01,12.300
1961-11-01,12.500
1961-12-01,12.700
1962-01-01,12.800
1962-02-01,12.600
1962-03-01,12.200
1962-04-01,12.700
1962-05-01,12.600
1962-06-01,12.600
1962-07-01,12.600
1962-08-01,12.500
1962-09-01,12.800
1962-10-01,12.700
1962-11-01,12.700
1962-12-01,12.700
1963-01-01,12.600
1963-02-01,12.500
1963-03-01,12.600
1963-04-01,12.600
1963-05-01,12.700
1963-06-01,12.800
1963-07-01,12.700
1963-08-01,12.300
1963-09-01,12.300
1963-10-01,12.300
1963-11-01,12.100
1963-12-01,12.300
1964-01-01,12.400
1964-02-01,12.200
1964-03-01,11.900
1964-04-01,11.700
1964-05-01,11.800
1964-06-01,11.900
1964-07-01,11.900
1964-08-01,11.700
1964-09-01,11.500
1964-10-01,11.800
1964-11-01,12.000
1964-12-01,12.100
1965-01-01,12.200
1965-02-01,12.100
1965-03-01,12.100
1965-04-01,12.100
1965-05-01,12.300
1965-06-01,12.300
1965-07-01,12.300
1965-08-01,12.400
1965-09-01,12.400
1965-10-01,12.400
1965-11-01,12.600
1965-12-01,12.700
1966-01-01,12.600
1966-02-01,12.600
1966-03-01,12.500
1966-04-01,12.600
1966-05-01,12.700
1966-06-01,12.900
1966-07-01,12.800
1966-08-01,12.900
1966-09-01,13.000
1966-10-01,13.000
1966-11-01,13.000
1966-12-01,12.900
1967-01-01,12.900
1967-02-01,13.100
1967-03-01,13.200
1967-04-01,13.100
1967-05-01,13.300
1967-06-01,13.300
1967-07-01,13.300
1967-08-01,13.400
1967-09-01,13.400
1967-10-01,13.000
1967-11-01,12.900
1967-12-01,12.800
1968-01-01,12.700
1968-02-01,12.800
1968-03-01,12.800
1968-04-01,12.900
1968-05-01,12.900
1968-06-01,13.300
1968-07-01,13.200
1968-08-01,13.000
1968-09-01,13.000
1968-10-01,12.800
1968-11-01,12.800
1968-12-01,12.700
1969-01-01,12.700
1969-02-01,12.800
1969-03-01,13.100
1969-04-01,13.200
1969-05-01,13.200
1969-06-01,13.300
1969-07-01,13.300
1969-08-01,13.200
1969-09-01,13.100
1969-10-01,13.100
1969-11-01,13.100
1969-12-01,13.100
1970-01-01,13.000
1970-02-01,13.000
1970-03-01,13.000
1970-04-01,13.000
1970-05-01,13.300
1970-06-01,13.100
1970-07-01,13.200
1970-08-01,13.300
1970-09-01,13.300
1970-10-01,13.300
1970-11-01,13.500
1970-12-01,14.200
1971-01-01,14.200
1971-02-01,14.100
1971-03-01,14.000
1971-04-01,13.800
1971-05-01,14.100
1971-06-01,14.100
1971-07-01,14.200
1971-08-01,14.200
1971-09-01,14.200
1971-10-01,14.100
1971-11-01,14.000
1971-12-01,14.000
1972-01-01,13.900
1972-02-01,13.900
1972-03-01,14.000
1972-04-01,14.000
1972-05-01,14.100
1972-06-01,14.300
1972-07-01,14.300
1972-08-01,14.500
1972-09-01,14.600
1972-10-01,14.600
1972-11-01,14.700
1972-12-01,14.700
1973-01-01,14.700
1973-02-01,15.600
1973-03-01,15.900
1973-04-01,16.100
1973-05-01,16.400
1973-06-01,16.800
1973-07-01,17.100
1973-08-01,17.100
1973-09-01,17.200
1973-10-01,17.600
1973-11-01,18.400
1973-12-01,19.900
1974-01-01,21.900
1974-02-01,24.700
1974-03-01,27.100
1974-04-01,28.300
1974-05-01,29.500
1974-06-01,30.500
1974-07-01,31.500
1974-08-01,32.000
1974-09-01,31.900
1974-10-01,32.100
1974-11-01,31.300
1974-12-01,31.300
1975-01-01,31.800
1975-02-01,31.600
1975-03-01,31.800
1975-04-01,32.000
