observation_date,WPU1032
1947-01-01,15.300
1947-02-01,15.300
1947-03-01,15.300
1947-04-01,15.300
1947-05-01,15.300
1947-06-01,15.300
1947-07-01,15.300
1947-08-01,17.100
1947-09-01,17.100
1947-10-01,17.100
1947-11-01,17.100
1947-12-01,17.100
1948-01-01,17.200
1948-02-01,17.300
1948-03-01,17.300
1948-04-01,17.300
1948-05-01,17.200
1948-06-01,17.200
1948-07-01,17.500
1948-08-01,17.900
1948-09-01,17.900
1948-10-01,17.900
1948-11-01,17.900
1948-12-01,17.900
1949-01-01,17.900
1949-02-01,17.900
1949-03-01,17.900
1949-04-01,17.900
1949-05-01,17.900
1949-06-01,17.900
1949-07-01,17.900
1949-08-01,17.900
1949-09-01,17.900
1949-10-01,17.900
1949-11-01,17.900
1949-12-01,17.900
1950-01-01,19.100
1950-02-01,19.100
1950-03-01,19.100
1950-04-01,19.100
1950-05-01,19.100
1950-06-01,19.100
1950-07-01,19.100
1950-08-01,19.100
1950-09-01,19.100
1950-10-01,19.200
1950-11-01,19.200
1950-12-01,20.300
1951-01-01,20.500
1951-02-01,20.500
1951-03-01,20.500
1951-04-01,20.500
1951-05-01,20.500
1951-06-01,20.500
1951-07-01,20.500
1951-08-01,20.500
1951-09-01,20.500
1951-10-01,20.500
1951-11-01,20.500
1951-12-01,20.500
1952-01-01,20.200
1952-02-01,20.200
1952-03-01,20.200
1952-04-01,20.200
1952-05-01,20.200
1952-06-01,20.200
1952-07-01,20.200
1952-08-01,20.400
1952-09-01,20.900
1952-10-01,20.900
1952-11-01,20.900
1952-12-01,20.900
1953-01-01,20.900
1953-02-01,20.900
1953-03-01,20.900
1953-04-01,21.900
1953-05-01,21.900
1953-06-01,21.900
1953-07-01,23.500
1953-08-01,23.500
1953-09-01,23.500
1953-10-01,23.500
1953-11-01,23.500
1953-12-01,23.500
1954-01-01,23.600
1954-02-01,23.600
1954-03-01,23.600
1954-04-01,23.600
1954-05-01,23.600
1954-06-01,23.600
1954-07-01,23.700
1954-08-01,24.400
1954-09-01,24.400
1954-10-01,24.400
1954-11-01,24.400
1954-12-01,24.400
1955-01-01,24.400
1955-02-01,24.500
1955-03-01,24.500
1955-04-01,24.500
1955-05-01,24.300
1955-06-01,24.300
1955-07-01,24.300
1955-08-01,25.800
1955-09-01,25.800
1955-10-01,25.700
1955-11-01,25.700
1955-12-01,25.700
1956-01-01,25.700
1956-02-01,25.700
1956-03-01,25.700
1956-04-01,25.700
1956-05-01,25.700
1956-06-01,25.700
1956-07-01,25.700
1956-08-01,26.600
1956-09-01,28.200
1956-10-01,28.200
1956-11-01,28.200
1956-12-01,28.200
1957-01-01,28.200
1957-02-01,28.200
1957-03-01,28.900
1957-04-01,28.900
1957-05-01,28.900
1957-06-01,28.900
1957-07-01,29.100
1957-08-01,29.400
1957-09-01,29.500
1957-10-01,29.500
1957-11-01,29.500
1957-12-01,29.500
1958-01-01,29.100
1958-02-01,29.100
1958-03-01,29.100
1958-04-01,29.000
1958-05-01,29.000
1958-06-01,29.000
1958-07-01,29.000
1958-08-01,29.000
1958-09-01,29.600
1958-10-01,30.300
1958-11-01,30.300
1958-12-01,30.300
1959-01-01,30.300
1959-02-01,30.300
1959-03-01,30.300
1959-04-01,30.300
1959-05-01,30.300
1959-06-01,30.300
1959-07-01,30.300
1959-08-01,30.300
1959-09-01,30.300
1959-10-01,30.300
1959-11-01,30.300
1959-12-01,30.300
1960-01-01,30.300
1960-02-01,30.300
1960-03-01,30.300
1960-04-01,30.300
1960-05-01,30.300
1960-06-01,29.000
1960-07-01,28.600
1960-08-01,28.600
1960-09-01,28.600
1960-10-01,28.600
1960-11-01,28.600
1960-12-01,28.600
1961-01-01,29.200
1961-02-01,29.200
1961-03-01,29.200
1961-04-01,29.200
1961-05-01,29.200
1961-06-01,29.200
1961-07-01,29.200
1961-08-01,29.200
1961-09-01,29.200
1961-10-01,29.200
1961-11-01,29.200
1961-12-01,29.200
1962-01-01,29.200
1962-02-01,29.200
1962-03-01,29.200
1962-04-01,29.200
1962-05-01,29.200
1962-06-01,29.200
1962-07-01,29.200
1962-08-01,29.200
1962-09-01,29.200
1962-10-01,29.200
1962-11-01,29.200
1962-12-01,29.200
1963-01-01,29.200
1963-02-01,29.200
1963-03-01,29.200
1963-04-01,29.200
1963-05-01,29.400
1963-06-01,30.100
1963-07-01,30.200
1963-08-01,30.200
1963-09-01,30.200
1963-10-01,30.200
1963-11-01,30.200
1963-12-01,30.200
1964-01-01,30.200
1964-02-01,30.200
1964-03-01,30.200
1964-04-01,30.200
1964-05-01,30.200
1964-06-01,30.200
1964-07-01,30.200
1964-08-01,30.200
1964-09-01,30.200
1964-10-01,30.200
1964-11-01,30.200
1964-12-01,30.200
1965-01-01,30.400
1965-02-01,30.400
1965-03-01,30.400
1965-04-01,30.400
1965-05-01,30.400
1965-06-01,30.400
1965-07-01,30.400
1965-08-01,30.400
1965-09-01,30.400
1965-10-01,30.400
1965-11-01,30.400
1965-12-01,30.400
1966-01-01,30.400
1966-02-01,30.400
1966-03-01,30.400
1966-04-01,31.000
1966-05-01,31.100
1966-06-01,31.100
1966-07-01,31.100
1966-08-01,31.100
1966-09-01,31.100
1966-10-01,31.100
1966-11-01,31.500
1966-12-01,31.500
1967-01-01,31.500
1967-02-01,31.500
1967-03-01,31.500
1967-04-01,31.500
1967-05-01,31.500
1967-06-01,31.500
1967-07-01,31.500
1967-08-01,31.500
1967-09-01,31.500
1967-10-01,31.500
1967-11-01,31.500
1967-12-01,31.600
1968-01-01,31.600
1968-02-01,32.500
1968-03-01,32.500
1968-04-01,32.500
1968-05-01,32.500
1968-06-01,32.500
1968-07-01,32.500
1968-08-01,32.500
1968-09-01,32.500
1968-10-01,33.500
1968-11-01,33.500
1968-12-01,33.500
1969-01-01,33.100
1969-02-01,33.100
1969-03-01,33.100
1969-04-01,33.600
1969-05-01,33.600
1969-06-01,33.600
1969-07-01,33.600
1969-08-01,33.600
1969-09-01,34.700
1969-10-01,35.200
1969-11-01,35.200
1969-12-01,35.200
1970-01-01,35.200
1970-02-01,35.200
1970-03-01,35.200
1970-04-01,35.200
1970-05-01,35.200
1970-06-01,35.200
1970-07-01,36.900
1970-08-01,37.000
1970-09-01,37.000
1970-10-01,37.000
1970-11-01,37.000
1970-12-01,37.000
1971-01-01,37.000
1971-02-01,37.000
1971-03-01,37.000
1971-04-01,37.000
1971-05-01,37.000
1971-06-01,37.000
1971-07-01,37.000
1971-08-01,39.400
1971-09-01,39.400
1971-10-01,39.400
1971-11-01,39.400
1971-12-01,39.400
1972-01-01,39.400
1972-02-01,39.400
1972-03-01,39.400
1972-04-01,39.700
1972-05-01,39.700
1972-06-01,39.700
1972-07-01,40.500
1972-08-01,40.500
1972-09-01,40.800
1972-10-01,40.800
1972-11-01,40.800
1972-12-01,40.800
1973-01-01,40.800
1973-02-01,40.800
1973-03-01,40.800
1973-04-01,40.800
1973-05-01,40.800
1973-06-01,40.800
1973-07-01,40.500
1973-08-01,40.300
1973-09-01,40.500
1973-10-01,40.800
1973-11-01,40.800
1973-12-01,40.800
1974-01-01,40.800
1974-02-01,41.300
