observation_date,WPU1042
1947-01-01,11.900
1947-02-01,11.900
1947-03-01,12.000
1947-04-01,12.000
1947-05-01,12.100
1947-06-01,12.100
1947-07-01,12.200
1947-08-01,12.200
1947-09-01,12.400
1947-10-01,12.600
1947-11-01,12.700
1947-12-01,12.800
1948-01-01,12.800
1948-02-01,12.900
1948-03-01,13.000
1948-04-01,13.100
1948-05-01,13.300
1948-06-01,13.400
1948-07-01,13.400
1948-08-01,13.800
1948-09-01,14.400
1948-10-01,14.600
1948-11-01,14.600
1948-12-01,14.600
1949-01-01,14.700
1949-02-01,14.600
1949-03-01,14.600
1949-04-01,14.600
1949-05-01,14.600
1949-06-01,14.600
1949-07-01,14.600
1949-08-01,14.600
1949-09-01,14.500
1949-10-01,14.500
1949-11-01,14.400
1949-12-01,14.400
1950-01-01,14.700
1950-02-01,14.900
1950-03-01,15.000
1950-04-01,15.100
1950-05-01,15.400
1950-06-01,15.500
1950-07-01,15.500
1950-08-01,15.800
1950-09-01,16.000
1950-10-01,16.300
1950-11-01,16.600
1950-12-01,16.800
1951-01-01,16.800
1951-02-01,16.800
1951-03-01,16.800
1951-04-01,16.800
1951-05-01,16.800
1951-06-01,16.800
1951-07-01,16.800
1951-08-01,16.800
1951-09-01,16.800
1951-10-01,16.800
1951-11-01,16.800
1951-12-01,16.800
1952-01-01,16.800
1952-02-01,16.800
1952-03-01,16.800
1952-04-01,16.800
1952-05-01,16.800
1952-06-01,16.800
1952-07-01,16.800
1952-08-01,16.800
1952-09-01,16.800
1952-10-01,17.100
1952-11-01,17.100
1952-12-01,17.200
1953-01-01,17.200
1953-02-01,17.200
1953-03-01,17.300
1953-04-01,17.600
1953-05-01,17.900
1953-06-01,18.200
1953-07-01,18.300
1953-08-01,18.400
1953-09-01,18.500
1953-10-01,18.600
1953-11-01,18.600
1953-12-01,18.600
1954-01-01,18.600
1954-02-01,18.600
1954-03-01,18.600
1954-04-01,18.800
1954-05-01,18.800
1954-06-01,18.800
1954-07-01,18.800
1954-08-01,18.900
1954-09-01,19.200
1954-10-01,19.300
1954-11-01,19.400
1954-12-01,19.500
1955-01-01,19.600
1955-02-01,19.600
1955-03-01,19.800
1955-04-01,19.800
1955-05-01,19.800
1955-06-01,19.800
1955-07-01,19.900
1955-08-01,20.300
1955-09-01,20.600
1955-10-01,21.100
1955-11-01,21.200
1955-12-01,21.200
1956-01-01,21.300
1956-02-01,21.300
1956-03-01,21.300
1956-04-01,21.300
1956-05-01,21.400
1956-06-01,21.600
1956-07-01,21.700
1956-08-01,22.100
1956-09-01,22.300
1956-10-01,22.600
1956-11-01,22.600
1956-12-01,22.600
1957-01-01,22.900
1957-02-01,23.000
1957-03-01,23.100
1957-04-01,23.000
1957-05-01,23.000
1957-06-01,23.000
1957-07-01,23.100
1957-08-01,23.500
1957-09-01,23.800
1957-10-01,23.900
1957-11-01,23.900
1957-12-01,24.100
1958-01-01,24.100
1958-02-01,24.200
1958-03-01,24.300
1958-04-01,24.400
1958-05-01,24.400
1958-06-01,24.500
1958-07-01,24.500
1958-08-01,24.500
1958-09-01,24.600
1958-10-01,24.600
1958-11-01,24.900
1958-12-01,24.900
1959-01-01,25.000
1959-02-01,25.000
1959-03-01,25.100
1959-04-01,25.100
1959-05-01,25.100
1959-06-01,25.100
1959-07-01,25.100
1959-08-01,25.100
1959-09-01,25.100
1959-10-01,25.200
1959-11-01,25.200
1959-12-01,25.200
1960-01-01,25.300
1960-02-01,25.300
1960-03-01,25.400
1960-04-01,25.400
1960-05-01,25.400
1960-06-01,25.600
1960-07-01,25.600
1960-08-01,25.600
1960-09-01,25.700
1960-10-01,25.700
1960-11-01,25.700
1960-12-01,25.700
1961-01-01,25.900
1961-02-01,25.900
1961-03-01,25.900
1961-04-01,25.900
1961-05-01,25.900
1961-06-01,25.900
1961-07-01,25.900
1961-08-01,26.000
1961-09-01,26.100
1961-10-01,26.100
1961-11-01,26.200
1961-12-01,26.100
1962-01-01,26.100
1962-02-01,26.100
1962-03-01,26.100
1962-04-01,26.100
1962-05-01,26.100
1962-06-01,26.100
1962-07-01,26.100
1962-08-01,26.100
1962-09-01,26.100
1962-10-01,26.100
1962-11-01,26.200
1962-12-01,26.200
1963-01-01,26.200
1963-02-01,26.300
1963-03-01,26.300
1963-04-01,26.300
1963-05-01,26.300
1963-06-01,26.400
1963-07-01,26.400
1963-08-01,26.500
1963-09-01,26.500
1963-10-01,26.700
1963-11-01,26.700
1963-12-01,26.700
1964-01-01,26.700
1964-02-01,26.700
1964-03-01,26.900
1964-04-01,26.900
1964-05-01,26.900
1964-06-01,26.900
1964-07-01,26.900
1964-08-01,27.100
1964-09-01,27.100
1964-10-01,27.100
1964-11-01,27.200
1964-12-01,27.200
1965-01-01,27.200
1965-02-01,27.200
1965-03-01,27.400
1965-04-01,27.400
1965-05-01,27.400
1965-06-01,27.400
1965-07-01,27.500
1965-08-01,27.600
1965-09-01,27.700
1965-10-01,27.700
1965-11-01,27.800
1965-12-01,27.800
1966-01-01,27.800
1966-02-01,27.800
1966-03-01,27.900
1966-04-01,28.000
1966-05-01,28.400
1966-06-01,28.500
1966-07-01,28.500
1966-08-01,28.700
1966-09-01,28.900
1966-10-01,28.900
1966-11-01,29.000
1966-12-01,29.100
1967-01-01,29.000
1967-02-01,29.100
1967-03-01,29.100
1967-04-01,29.100
1967-05-01,29.200
1967-06-01,29.300
1967-07-01,29.300
1967-08-01,29.400
1967-09-01,29.500
1967-10-01,29.600
1967-11-01,29.700
1967-12-01,30.000
1968-01-01,30.100
1968-02-01,30.400
1968-03-01,30.500
1968-04-01,30.600
1968-05-01,30.700
1968-06-01,30.700
1968-07-01,30.700
1968-08-01,30.800
1968-09-01,30.900
1968-10-01,31.100
1968-11-01,31.300
1968-12-01,31.400
1969-01-01,31.400
1969-02-01,31.700
1969-03-01,31.800
1969-04-01,31.900
1969-05-01,32.000
1969-06-01,32.100
1969-07-01,32.300
1969-08-01,32.400
1969-09-01,32.500
1969-10-01,32.900
1969-11-01,33.400
1969-12-01,33.400
1970-01-01,33.500
1970-02-01,33.700
1970-03-01,33.900
1970-04-01,33.800
1970-05-01,34.000
1970-06-01,34.000
1970-07-01,34.400
1970-08-01,34.500
1970-09-01,34.800
1970-10-01,34.900
1970-11-01,35.100
1970-12-01,35.200
1971-01-01,35.400
1971-02-01,35.500
1971-03-01,35.500
1971-04-01,35.600
1971-05-01,35.600
1971-06-01,35.900
1971-07-01,36.300
1971-08-01,36.800
1971-09-01,36.800
1971-10-01,36.800
1971-11-01,36.900
1971-12-01,36.900
1972-01-01,37.100
1972-02-01,37.300
1972-03-01,37.300
1972-04-01,37.600
1972-05-01,37.600
1972-06-01,37.700
1972-07-01,37.800
1972-08-01,37.900
1972-09-01,38.000
1972-10-01,38.000
1972-11-01,38.200
1972-12-01,38.200
1973-01-01,38.400
1973-02-01,38.500
1973-03-01,38.600
1973-04-01,38.800
1973-05-01,39.100
1973-06-01,39.300
1973-07-01,39.300
1973-08-01,39.300
1973-09-01,39.700
1973-10-01,39.800
1973-11-01,40.000
